Citation,Year,Meta-Analysis,Journal
Stat Med. 2000 Jan 15;19(1):13-33. doi: 10.1002/(sici)1097-0258(20000115)19:1<13::aid-sim279>3.0.co;2-5.,2000,0,Stat Med
Stat Med. 2002 Mar 15;21(5):675-87. doi: 10.1002/sim.1002.,2002,0,Stat Med
Stat Med. 1993 Sep 30;12(18):1665-82. doi: 10.1002/sim.4780121803.,1993,0,Stat Med
Stat Med. 1992 Oct-Nov;11(14-15):1843-60. doi: 10.1002/sim.4780111407.,1992,0,Stat Med
Stat Med. 1996 Oct 15;15(19):2053-67. doi: 10.1002/(SICI)1097-0258(19961015)15:19<2053::AID-SIM340>3.0.CO;2-Y.,1996,0,Stat Med
Stat Med. 1995 Sep 15;14(17):1913-25. doi: 10.1002/sim.4780141707.,1995,0,Stat Med
Stat Med. 1993 May 15;12(9):825-34. doi: 10.1002/sim.4780120903.,1993,0,Stat Med
Stat Med. 1995 Dec 30;14(24):2701-12. doi: 10.1002/sim.4780142409.,1995,0,Stat Med
Stat Med. 2005 Dec 30;24(24):3845-61. doi: 10.1002/sim.2393.,2005,1,Stat Med
Stat Med. 1993 Dec 30;12(24):2351-66. doi: 10.1002/sim.4780122411.,1993,0,Stat Med
Stat Med. 1999 Oct 30;18(20):2709-22. doi: 10.1002/(sici)1097-0258(19991030)18:20<2709::aid-sim236>3.0.co;2-g.,1999,0,Stat Med
Stat Med. 1994 May 15;13(9):945-53. doi: 10.1002/sim.4780130905.,1994,0,Stat Med
Stat Med. 2000 Jan 15;19(1):71-82. doi: 10.1002/(sici)1097-0258(20000115)19:1<71::aid-sim292>3.0.co;2-o.,2000,0,Stat Med
Stat Med. 1999 Mar 30;18(6):753-4. doi: 10.1002/(sici)1097-0258(19990330)18:6<753::aid-sim63>3.0.co;2-s.,1999,1,Stat Med
Stat Med. 1996 Oct 30;15(20):2253-60. doi: 10.1002/(SICI)1097-0258(19961030)15:20<2253::AID-SIM368>3.0.CO;2-7.,1996,0,Stat Med
Stat Med. 2000 Apr 30;19(8):1039-58. doi: 10.1002/(sici)1097-0258(20000430)19:8<1039::aid-sim417>3.0.co;2-o.,2000,0,Stat Med
Stat Med. 1992 Feb 15;11(3):281-94. doi: 10.1002/sim.4780110302.,1992,1,Stat Med
Stat Med. 2001 Jun 30;20(12):1727-38. doi: 10.1002/sim.792.,2001,0,Stat Med
Stat Med. 1999 Jan 30;18(2):155-62. doi: 10.1002/(sici)1097-0258(19990130)18:2<155::aid-sim12>3.0.co;2-d.,1999,0,Stat Med
Stat Med. 1994 Jul 15-30;13(13-14):1329-35. doi: 10.1002/sim.4780131306.,1994,0,Stat Med
Stat Med. 1997 Jul 30;16(14):1653-64. doi: 10.1002/(sici)1097-0258(19970730)16:14<1653::aid-sim591>3.0.co;2-#.,1997,0,Stat Med
Stat Med. 1992 Jan 15;11(1):5-11. doi: 10.1002/sim.4780110103.,1992,0,Stat Med
Stat Med. 1992 Jan 15;11(1):23-35. doi: 10.1002/sim.4780110105.,1992,0,Stat Med
Stat Med. 2023 Aug 30;42(19):3371-3391. doi: 10.1002/sim.9810. Epub 2023 Jun 10.,2023,1,Stat Med
